Secteur principal,Secteur d'activité ,Secteur d'activité connexe,Sous-secteur,Catégorie de métier,Code NAF,Qualification,Expositions,Risques,Examens utiles
Secteur primaire,Agriculture,,Production,Arboriculteur,,Apprenti,,,
,,,Production,Chef d'exploitation laitière,,Employé,,,
,,,Production,Chef de culture,,Employé polyvalent,,,
,,,Production,Conducteur d'engins d'exploitation agricole,,Ouvrier,,,
,,,Production,Horticulteur,,Ouvrier qualifié,,,
,,,Production,Maraicher,,,,,
,,,Production,Ouvrier agricole,,,,,
,,,Production,Ouvrier de production sous serre,,,,,
,,Industrie - Transport - Logistique,Technicien,Mécanicien en machinisme agricole,,,,,
,,,Ingénierie,Ingénieur de recherche produit,,,,,
,,,Ingénierie,"Ingénieur des ponts, des eaux et forêts",,,,,
,,,Ingénierie,Ingénieur en élevage et production animale,,,,,
,Agroalimentaire,,Production,Pisciculteur,,,,,
,,,Production,Aquaculteur,,,,,
,,,Production,Conchyculteur - Ostréiculteur,,,,,
,,,Production,Opérateur en transformation des viandes,,,,,
,,,Production,Pilote d'installation automatisée,,,,,
,,,Production,Préparateur de recettes,,,,,
,,,Production,Préparateur en produits de la mer,,,,,
,,,Production,Technicien biologiste,,,,,
,,,Production,Qualiticien,,,,,
,,,Chimie,Aromaticien,,,,,
,,,Ingénierie,Ingénieur de recherche produit,,,,,
,,,Ingénierie,Ingénieur agroalimentaire,,,,,
,Exploitation forestière - Sylviculture,,,Garde forestier,,,,,
,Exploitation minière,,,Mineur,,,,,
,Viticulture,,,Maitre de chai,,,,,
,,Hotellerie - Restauration - Café - Alimentaire,,Caviste,,,,,
,,Sciences,,Œnologue,,,,,
,,,,Ouvrier viticole ,,,,,
,,Hotellerie - Restauration - Café - Alimentaire,,Sommelier,,,,,
,,,,Viticulteur,,,,,
Secteur secondaire,Bâtiment - Travaux Publics - Matériaux,,,Acousticien,,Hôte d'accueil,,,
,,,,Agent de maintenance du bâtiment,,Employé,,,
,,,,Ascensoriste,,Employé polyvalent,,,
,,,,Canalisateur,,Ouvrier,,,
,,,,Carreleur,,Ouvrier qualifié,,,
,,,Bois,Charpentier,,Secrétariat,,,
,,,,Chef de chantier,,,,,
,,,Métaux,Chaudronnier,,,,,
,,,Bois,Coffreur-boiseur,,,,,
,,,,Conducteur de travaux,,,,,
,,,,Conducteur d'engin de BTP,,,,,
,,,,Cordiste,,,,,
,,,,Couvreur,,,,,
,,,,Dessinateur en bâtiment,,,,,
,,,,Dessinateur industriel,,,,,
,,,,Domoticien,,,,,
,,,,Electricien du bâtiment,,,,,
,,,,Etanchéiste,,,,,
,,,,Facadier,,,,,
,,,Métaux,Ferronier,,,,,
,,,,Foreur,,,,,
,,,,Géometre topographe,,,,,
,,,,Grutier,,,,,
,,Environnement - Nature,,Installateur de panneaux solaires,,,,,
,,,,Maçon,,,,,
,,,,Matérieriste-coloriste,,,,,
,,,,Mécanicien d'engins de chantier,,,,,
,,,Bois,Menuisier,,,,,
,,,,Métreur,,,,,
,,Architecture - Aménagement d'intérieur,Verre,Miroitier,,,,,
,,,,Monteur en installations sanitaires,,,,,
,,,,Monteur en installations thermiques,,,,,
,,,,Monteur-câbleur,,,,,
,,,,Opérateur de démolition,,,,,
,,,,Peintre en bâtiment,,,,,
,,,,Peintre en décors,,,,,
,,,,Piscinier,,,,,
,,,,Planificateur de production,,,,,
,,,,Plaquiste,,,,,
,,,,Plâtrier,,,,,
,,,,Plombier,,,,,
,,,Métaux,Serrurier métallier,,,,,
,,,,Solier-moquettiste,,,,,
,,,Métaux,Soudeur,,,,,
,,,,Staffeur-ornemaniste,,,,,
,,,,Tailleur de pierre,,,,,
,,,Technicien,Technicien de maintenance sur éolienne,,,,,
,,,,Terrassier,,,,,
,,,,Urbaniste,,,,,
,,,Verre,Verrier au chalumeau,,,,,
,,,,Opérateur sur machine à commande numérique,,,,,
,,Réparation - Mécanique - Maintenance,,Opérateur régleur sur machine automatisée,,,,,
,,,,Pilote d'installations automatisées,,,,,
,,Industrie - Transport - Logistique,Construction navale,Charpentier de marine,,,,,
,,Industrie - Transport - Logistique,Construction navale,Peintre en construction navale,,,,,
,,,Bois,Conducteur de séchoir à bois,,,,,
,,,Bois,Charpentier,,,,,
,,,Bois,Coffreur-boiseur,,,,,
,,,Bois,Menuisier,,,,,
,,,Métaux,Affûteur,,,,,
,,,Métaux,Bronzier,,,,,
,,,Métaux,Chaudronnier tôlier,,,,,
,,,Métaux,Conducteur de portiques de scierie,,,,,
,,,Métaux,Métallier,,,,,
,,,Métaux,Opérateur de forge,,,,,
,,,Métaux,Serrurier métallier,,,,,
,,,Métaux,Soudeur,,,,,
,,,Ingénierie,Ingénieur de fabrication,,,,,
,,Industrie - Transport - Logistique / Réparation - Mécanique - Maintenance,Ingénierie,Ingénieur de production,,,,,
,,,Ingénierie,Ingénieur de recherche produit,,,,,
,,,Ingénierie,Ingénieur en science des matériaux,,,,,
,Industrie - Transport - Logistique,,Technicien,Accastilleur,,,,,
,,,Ingénierie,Ingénieur packaging,,,,,
,,,Industrie pétrolière,Plongeur professionnel,,,,,
,,,Textile,Patronnier-gradeur,,,,,
,,,Ingénierie,Ingénieur aéronautique et aérosptial,,,,,
,,Bâtiment - Travaux Publics - Matériaux,Ingénierie,Ingénieur de fabrication,,,,,
,,Bâtiment - Travaux Publics - Matériaux,Ingénierie,Ingénieur de production,,,,,
,,Bâtiment - Travaux Publics - Matériaux,Ingénierie,Ingénieur de recherche produit,,,,,
,,Bâtiment - Travaux Publics - Matériaux,Ingénierie,Ingénieur en science des matériaux,,,,,
,,,Ingénierie,Ingénieur férroviaire,,,,,
,,,Ingénierie,Ingénieur lean,,,,,
,,Bâtiment - Travaux Publics - Matériaux / Réparation - Mécanique - Maintenance,Ingénierie,Ingénieur de production,,,,,
,,,Ingénierie,Ingénieur packaging,,,,,
,,,Ingénierie,Ingénieur de recherche industrielle,,,,,
,,,Automobile,Designer automobile,,,,,
,,,,Electricien de maintnenance ferroviaire,,,,,
,,Informatique,Automobile,Electricien électronicien automobile,,,,,
,,Réparation - Mécanique - Maintenance,Automobile,Mécanicien 2 roues,,,,,
,,Réparation - Mécanique - Maintenance,Automobile,Mécanicien auto,,,,,
,,,Automobile,Peintre en carosserie,,,,,
,,Réparation - Mécanique - Maintenance / Sécurité - Défense,Aviation,Mécanicien avionique de l'armée de l'air,,,,,
,,,Technicien,Mécanicien d'engins de chantier,,,,,
,,Réparation - Mécanique - Maintenance,Technicien,Mécanicien de maintenance ferroviaire,,,,,
,,Réparation - Mécanique - Maintenance,Technicien,Mécanicien de maintenance aéronautique,,,,,
,,Réparation - Mécanique - Maintenance,Technicien,Mécanicien de marine,,,,,
,,Réparation - Mécanique - Maintenance / Agriculture,Technicien,Mécanicien en machinisme agricole,,,,,
,,Réparation - Mécanique - Maintenance,,Monteur en pneumatiques,,,,,
,,,,Planificateur de production,,,,,
