sector,activity_area,Secteur d'activité connexe,label,category,Qualification,Expositions,Risques,Examens utiles
Secteur primaire,Agriculture,,Production,Arboriculteur,Apprenti,,,
,,,Production,Chef d'exploitation laitière,Employé,,,
,,,Production,Chef de culture,Employé polyvalent,,,
,,,Production,Conducteur d'engins d'exploitation agricole,Ouvrier,,,
,,,Production,Horticulteur,Ouvrier qualifié,,,
,,,Production,Maraicher,,,,
,,,Production,Ouvrier agricole,,,,
,,,Production,Ouvrier de production sous serre,,,,
,,,Ingénierie,Ingénieur de recherche produit,,,,
,,,Ingénierie,"Ingénieur des ponts, des eaux et forêts",,,,
,,,Ingénierie,Ingénieur en élevage et production animale,,,,
,Agroalimentaire,,Production,Pisciculteur,,,,
,,,Production,Aquaculteur,,,,
,,,Production,Conchyculteur - Ostréiculteur,,,,
,,,Production,Opérateur en transformation des viandes,,,,
,,,Production,Pilote d'installation automatisée,,,,
,,,Production,Préparateur de recettes,,,,
,,,Production,Préparateur en produits de la mer,,,,
,,,Production,Technicien biologiste,,,,
,,,Production,Qualiticien,,,,
,,,Chimie,Aromaticien,,,,
,,,Ingénierie,Ingénieur de recherche produit,,,,
,,,Ingénierie,Ingénieur agroalimentaire,,,,
,Exploitation forestière - Sylviculture,,,Garde forestier,,,,
,Exploitation minière,,,Mineur,,,,
,Viticulture,,,Maitre de chai,,,,
,,Hotellerie - Restauration - Café - Alimentaire,,Caviste,,,,
,,Sciences,,Œnologue,,,,
,,,,Ouvrier viticole ,,,,
,,Hotellerie - Restauration - Café - Alimentaire,,Sommelier,,,,
,,,,Viticulteur,,,,
Secteur secondaire,Bâtiment - Travaux Publics - Matériaux,,,Acousticien,Hôte d'accueil,,,
,,,,Agent de maintenance du bâtiment,Employé,,,
,,,,Ascensoriste,Employé polyvalent,,,
,,,,Canalisateur,Ouvrier,,,
,,,,Carreleur,Ouvrier qualifié,,,
,,,Bois,Charpentier,Secrétariat,,,
,,,,Chef de chantier,,,,
,,,Bois,Coffreur-boiseur,,,,
,,,,Conducteur de travaux,,,,
,,,,Conducteur d'engin de BTP,,,,
,,,,Cordiste,,,,
,,,,Couvreur,,,,
,,,,Dessinateur en bâtiment,,,,
,,,,Dessinateur industriel,,,,
,,,,Domoticien,,,,
,,,,Electricien du bâtiment,,,,
,,,,Etanchéiste,,,,
,,,,Facadier,,,,
,,,Métaux,Ferronier,,,,
,,,,Foreur,,,,
,,,,Géometre topographe,,,,
,,,,Grutier,,,,
,,Environnement - Nature,,Installateur de panneaux solaires,,,,
,,,,Maçon,,,,
,,,,Matérieriste-coloriste,,,,
,,,,Mécanicien d'engins de chantier,,,,
,,,Bois,Menuisier,,,,
,,,,Métreur,,,,
,,Architecture - Aménagement d'intérieur,Verre,Miroitier,,,,
,,,,Monteur en installations sanitaires,,,,
,,,,Monteur en installations thermiques,,,,
,,,,Monteur-câbleur,,,,
,,,,Opérateur de démolition,,,,
,,,,Peintre en bâtiment,,,,
,,,,Peintre en décors,,,,
,,,,Piscinier,,,,
,,,,Planificateur de production,,,,
,,,,Plaquiste,,,,
,,,,Plâtrier,,,,
,,,,Plombier,,,,
,,,Métaux,Serrurier métallier,,,,
,,,,Solier-moquettiste,,,,
,,,Métaux,Soudeur,,,,
,,,,Staffeur-ornemaniste,,,,
,,,,Tailleur de pierre,,,,
,,,Technicien,Technicien de maintenance sur éolienne,,,,
,,,,Terrassier,,,,
,,,,Urbaniste,,,,
,,,Verre,Verrier au chalumeau,,,,
,,,,Opérateur sur machine à commande numérique,,,,
,,,,Opérateur régleur sur machine automatisée,,,,
,,,,Pilote d'installations automatisées,,,,
,,,Construction navale,Charpentier de marine,,,,
,,,Construction navale,Peintre en construction navale,,,,
,,,Bois,Conducteur de séchoir à bois,,,,
,,,Bois,Charpentier,,,,
,,,Bois,Coffreur-boiseur,,,,
,,,Bois,Menuisier,,,,
,,,Métaux,Affûteur,,,,
,,,Métaux,Bronzier,,,,
,,,Métaux,Chaudronnier tôlier,,,,
,,,Métaux,Conducteur de portiques de scierie,,,,
,,,Métaux,Métallier,,,,
,,,Métaux,Opérateur de forge,,,,
,,,Métaux,Serrurier métallier,,,,
,,,Métaux,Soudeur,,,,
,Industrie - Transport - Logistique,,Ingénierie,Ingénieur packaging,,,,
,,,Industrie pétrolière,Plongeur professionnel,,,,
,,,Textile,Patronnier-gradeur,,,,
,,,Ingénierie,Ingénieur aéronautique et aérosptial,,,,
,,,Ingénierie,Ingénieur de fabrication,,,,
,,,Ingénierie,Ingénieur de production,,,,
,,,Ingénierie,Ingénieur de recherche produit,,,,
,,,Ingénierie,Ingénieur en science des matériaux,,,,
,,,Ingénierie,Ingénieur férroviaire,,,,
,,,Ingénierie,Ingénieur lean,,,,
,,,Ingénierie,Ingénieur packaging,,,,
,,,Automobile,Designer automobile,,,,
,,Informatique,Automobile,Electricien électronicien automobile,,,,
,,,Ingénierie,Ingénieur aéronautique et aérospatial ,,,,
,,Bâtiment - Travaux Publics - Matériaux,Construction navale,Charpentier de marine,,,,
,,Bâtiment - Travaux Publics - Matériaux,Construction navale,Peintre en construction navale,,,,
,,,,Concepteur d'emballages,,,,
Secteur tertiaire,Animaux,Tourisme - Sport - Loisirs - Animation,,Accompagnateur de tourisme équestre,Hôte d'accueil,,,
,,,,Moniteur d'équitation,Employé,,,
,,,Production,Accouveur,Employé polyvalent,,,
,,,Production,Animalier de laboratoire,Secrétariat,,,
,,,Production,Apiculteur,Assistant,,,
,,Agriculture,Production,Chef d'exploitation laitière,Consultant,,,
,,Agriculture,Production,Chef d'exploitation laitière,Représentant,,,
,,Agriculture,Production,Chef d'exploitation laitière,Commercial,,,
,,,Production,Eleveur de chiens,Technicien,,,
,,,Production,Eleveur de chevaux,,,,
,,,Production,Inséminateur,,,,
,,,Commerce,Taxidermiste,,,,
,,Commerce,Commerce,Vendeur en animalerie,,,,
,,,Soins,Auxilliaire vétérinaire,,,,
,,,Soins,Comportementaliste,,,,
,,,Soins,Educateur de chiens guide d'aveugle,,,,
,,,Soins,Educateur canin,,,,
,,,Soins,Maître chien,,,,
,,Sécurité - Défense,,Maître-chien / Agent cynophile de sécurité,,,,
,,,Soins,Maréchal-ferrant,,,,
,,,Soins,Pelefrenier,,,,
,,,Soins,Soigneur de chevaux,,,,
,,,Soins,Toiletteur d'animaux,,,,
,,,Soins,Vétérinaire,,,,
,,,Sport,Jockey,,,,
,,,,Zoologiste,,,,
,Assurance,,,,,,,
,,,,,,,,
,,,,,,,,
,Architecture - Aménagement d'intérieur,,,Agenceur de cuisine,,,,
,,,,Antiquaire,,,,
,,,,Architecte,,,,
,,,,Architecte d'intérieur,,,,
,,,,Architecte paysagiste,,,,
,,,,Caneur-rempailleur,,,,
,,,,Conservateur territorial du patrimoine,,,,
,,,,Décorateur d'intérieur,,,,
,,Bâtiment - Travaux Publics - Industrie - Matériaux,,Menuisier,,,,
,,,,Menuisier en sièges,,,,
